timestamp,event,symbol,price,details
2025-06-17 00:00:00+05:30,Setup Detected,AUBANK,771.3,80-20 setup for next day entry at 771.3; threshold: 770.3; TR: 12.650000000000091
2025-06-18 09:15:00+05:30,Trigger Threshold Hit,AUBANK,765.0,Price dropped below threshold 770.3; day_low_so_far: 765.0
2025-06-18 09:30:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 09:30:00+05:30,Trailing SL Update,AUBANK,775.34999999,Updated from 764.99999999 to 775.34999999 on green bar
2025-06-18 09:45:00+05:30,Trailing SL Update,AUBANK,778.89999999,Updated from 775.34999999 to 778.89999999 on green bar
2025-06-18 09:45:00+05:30,Take Profit Exit,AUBANK,780.8000000000001,Hit TP at 780.7500000150002
2025-06-18 10:00:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 10:00:00+05:30,Take Profit Exit,AUBANK,782.9000000000001,Hit TP at 780.7500000150002
2025-06-18 10:15:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 10:15:00+05:30,Take Profit Exit,AUBANK,782.4000000000001,Hit TP at 780.7500000150002
2025-06-18 10:30:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 10:30:00+05:30,Trailing SL Update,AUBANK,780.99999999,Updated from 764.99999999 to 780.99999999 on green bar
2025-06-18 10:30:00+05:30,Take Profit Exit,AUBANK,782.0,Hit TP at 780.7500000150002
2025-06-18 10:45:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 10:45:00+05:30,Take Profit Exit,AUBANK,790.2,Hit TP at 780.7500000150002
2025-06-18 11:00:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 11:00:00+05:30,Take Profit Exit,AUBANK,789.8000000000001,Hit TP at 780.7500000150002
2025-06-18 11:15:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 11:15:00+05:30,Take Profit Exit,AUBANK,789.6,Hit TP at 780.7500000150002
2025-06-18 11:30:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 11:30:00+05:30,Trailing SL Update,AUBANK,785.64999999,Updated from 764.99999999 to 785.64999999 on green bar
2025-06-18 11:30:00+05:30,Take Profit Exit,AUBANK,787.4000000000001,Hit TP at 780.7500000150002
2025-06-18 11:45:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 11:45:00+05:30,Trailing SL Update,AUBANK,788.79999999,Updated from 764.99999999 to 788.79999999 on green bar
2025-06-18 11:45:00+05:30,Take Profit Exit,AUBANK,789.5,Hit TP at 780.7500000150002
2025-06-18 12:00:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 12:00:00+05:30,Trailing SL Update,AUBANK,789.69999999,Updated from 764.99999999 to 789.69999999 on green bar
2025-06-18 12:00:00+05:30,Take Profit Exit,AUBANK,789.8000000000001,Hit TP at 780.7500000150002
2025-06-18 12:15:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 12:15:00+05:30,Trailing SL Update,AUBANK,795.34999999,Updated from 764.99999999 to 795.34999999 on green bar
2025-06-18 12:15:00+05:30,Take Profit Exit,AUBANK,796.0,Hit TP at 780.7500000150002
2025-06-18 12:30:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 12:30:00+05:30,Take Profit Exit,AUBANK,796.5,Hit TP at 780.7500000150002
2025-06-18 12:45:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 12:45:00+05:30,Take Profit Exit,AUBANK,795.0,Hit TP at 780.7500000150002
2025-06-18 13:00:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 13:00:00+05:30,Take Profit Exit,AUBANK,794.5,Hit TP at 780.7500000150002
2025-06-18 13:15:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 13:15:00+05:30,Take Profit Exit,AUBANK,794.4000000000001,Hit TP at 780.7500000150002
2025-06-18 13:30:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 13:30:00+05:30,Trailing SL Update,AUBANK,793.59999999,Updated from 764.99999999 to 793.59999999 on green bar
2025-06-18 13:30:00+05:30,Take Profit Exit,AUBANK,794.0,Hit TP at 780.7500000150002
2025-06-18 13:45:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 13:45:00+05:30,Take Profit Exit,AUBANK,795.4000000000001,Hit TP at 780.7500000150002
2025-06-18 14:00:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 14:00:00+05:30,Trailing SL Update,AUBANK,793.04999999,Updated from 764.99999999 to 793.04999999 on green bar
2025-06-18 14:00:00+05:30,Take Profit Exit,AUBANK,793.5,Hit TP at 780.7500000150002
2025-06-18 14:15:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 14:15:00+05:30,Take Profit Exit,AUBANK,793.5,Hit TP at 780.7500000150002
2025-06-18 14:30:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 14:30:00+05:30,Trailing SL Update,AUBANK,792.44999999,Updated from 764.99999999 to 792.44999999 on green bar
2025-06-18 14:30:00+05:30,Take Profit Exit,AUBANK,793.2,Hit TP at 780.7500000150002
2025-06-18 14:45:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 14:45:00+05:30,Trailing SL Update,AUBANK,792.94999999,Updated from 764.99999999 to 792.94999999 on green bar
2025-06-18 14:45:00+05:30,Take Profit Exit,AUBANK,793.8000000000001,Hit TP at 780.7500000150002
2025-06-18 15:00:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 15:00:00+05:30,Trailing SL Update,AUBANK,793.89999999,Updated from 764.99999999 to 793.89999999 on green bar
2025-06-18 15:00:00+05:30,Take Profit Exit,AUBANK,793.9000000000001,Hit TP at 780.7500000150002
2025-06-18 15:15:00+05:30,Entry Filled,AUBANK,771.3000000000001,Long entry; SL: 764.99999999; TP: 780.7500000150002; risk: 6.300000010000076
2025-06-18 15:15:00+05:30,Trailing SL Update,AUBANK,792.14999999,Updated from 764.99999999 to 792.14999999 on green bar
2025-06-18 15:15:00+05:30,Take Profit Exit,AUBANK,794.8000000000001,Hit TP at 780.7500000150002
2025-07-03 00:00:00+05:30,Setup Detected,AUBANK,809.55,80-20 setup for next day entry at 809.55; threshold: 808.55; TR: 12.550000000000068
2025-07-04 09:15:00+05:30,Trigger Threshold Hit,AUBANK,807.0,Price dropped below threshold 808.55; day_low_so_far: 807.0
2025-07-04 09:30:00+05:30,Entry Filled,AUBANK,809.5,Long entry; SL: 806.99999999; TP: 813.2500000150001; risk: 2.500000010000008
2025-07-04 09:30:00+05:30,Trailing SL Update,AUBANK,808.29999999,Updated from 806.99999999 to 808.29999999 on green bar
2025-07-04 09:45:00+05:30,Trailing SL Update,AUBANK,810.94999999,Updated from 808.29999999 to 810.94999999 on green bar
2025-07-04 09:45:00+05:30,Take Profit Exit,AUBANK,813.3000000000001,Hit TP at 813.2500000150001
2025-07-04 10:00:00+05:30,Entry Filled,AUBANK,809.5,Long entry; SL: 806.99999999; TP: 813.2500000150001; risk: 2.500000010000008
2025-07-04 10:00:00+05:30,Trailing SL Update,AUBANK,812.44999999,Updated from 806.99999999 to 812.44999999 on green bar
2025-07-04 10:00:00+05:30,Take Profit Exit,AUBANK,813.8000000000001,Hit TP at 813.2500000150001
2025-07-04 10:15:00+05:30,Entry Filled,AUBANK,809.5,Long entry; SL: 806.99999999; TP: 813.2500000150001; risk: 2.500000010000008
2025-07-04 10:15:00+05:30,Trailing SL Update,AUBANK,813.24999999,Updated from 806.99999999 to 813.24999999 on green bar
2025-07-04 10:15:00+05:30,Take Profit Exit,AUBANK,813.9000000000001,Hit TP at 813.2500000150001
2025-07-04 10:30:00+05:30,Entry Filled,AUBANK,809.5,Long entry; SL: 806.99999999; TP: 813.2500000150001; risk: 2.500000010000008
2025-07-04 10:30:00+05:30,Trailing SL Update,AUBANK,813.24999999,Updated from 806.99999999 to 813.24999999 on green bar
2025-07-04 10:30:00+05:30,Take Profit Exit,AUBANK,814.2,Hit TP at 813.2500000150001
2025-07-04 10:45:00+05:30,Entry Filled,AUBANK,809.5,Long entry; SL: 806.99999999; TP: 813.2500000150001; risk: 2.500000010000008
2025-07-04 10:45:00+05:30,Trailing SL Update,AUBANK,814.39999999,Updated from 806.99999999 to 814.39999999 on green bar
2025-07-04 10:45:00+05:30,Take Profit Exit,AUBANK,814.6,Hit TP at 813.2500000150001
