timestamp,event,symbol,price,details
2025-05-06 00:00:00+05:30,Setup Detected,AXISBANK,1157.7,80-20 setup for next day entry at 1157.7; threshold: 1156.7; TR: 21.09999999999991
2025-05-07 09:15:00+05:30,Trigger Threshold Hit,AXISBANK,1152.9,Price dropped below threshold 1156.7; day_low_so_far: 1152.9
2025-05-07 09:30:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 09:30:00+05:30,Trailing SL Update,AXISBANK,1164.09999999,Updated from 1152.8999999900002 to 1164.09999999 on green bar
2025-05-07 09:30:00+05:30,Take Profit Exit,AXISBANK,1164.9,Hit TP at 1164.900000015
2025-05-07 09:45:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 09:45:00+05:30,Take Profit Exit,AXISBANK,1167.7,Hit TP at 1164.900000015
2025-05-07 10:00:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 10:00:00+05:30,Take Profit Exit,AXISBANK,1166.0,Hit TP at 1164.900000015
2025-05-07 10:15:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 10:30:00+05:30,Trailing SL Update,AXISBANK,1157.49999999,Updated from 1152.8999999900002 to 1157.49999999 on green bar
2025-05-07 10:45:00+05:30,Stop Loss Exit,AXISBANK,1157.5,Hit SL at 1157.49999999
2025-05-07 11:00:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 11:00:00+05:30,Trailing SL Update,AXISBANK,1157.49999999,Updated from 1152.8999999900002 to 1157.49999999 on green bar
2025-05-07 11:15:00+05:30,Trailing SL Update,AXISBANK,1159.29999999,Updated from 1157.49999999 to 1159.29999999 on green bar
2025-05-07 11:30:00+05:30,Trailing SL Update,AXISBANK,1161.3999999900002,Updated from 1159.29999999 to 1161.3999999900002 on green bar
2025-05-07 11:45:00+05:30,Stop Loss Exit,AXISBANK,1161.4,Hit SL at 1161.3999999900002
2025-05-07 12:00:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 12:15:00+05:30,Trailing SL Update,AXISBANK,1157.99999999,Updated from 1152.8999999900002 to 1157.99999999 on green bar
2025-05-07 12:45:00+05:30,Trailing SL Update,AXISBANK,1159.29999999,Updated from 1157.99999999 to 1159.29999999 on green bar
2025-05-07 13:00:00+05:30,Stop Loss Exit,AXISBANK,1159.3,Hit SL at 1159.29999999
2025-05-07 13:15:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 13:15:00+05:30,Trailing SL Update,AXISBANK,1160.8999999900002,Updated from 1152.8999999900002 to 1160.8999999900002 on green bar
2025-05-07 13:30:00+05:30,Stop Loss Exit,AXISBANK,1160.9,Hit SL at 1160.8999999900002
2025-05-07 13:45:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 13:45:00+05:30,Trailing SL Update,AXISBANK,1160.09999999,Updated from 1152.8999999900002 to 1160.09999999 on green bar
2025-05-07 14:00:00+05:30,Trailing SL Update,AXISBANK,1162.3999999900002,Updated from 1160.09999999 to 1162.3999999900002 on green bar
2025-05-07 14:00:00+05:30,Take Profit Exit,AXISBANK,1164.9,Hit TP at 1164.900000015
2025-05-07 14:15:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 14:30:00+05:30,Trailing SL Update,AXISBANK,1161.6999999900002,Updated from 1152.8999999900002 to 1161.6999999900002 on green bar
2025-05-07 14:30:00+05:30,Take Profit Exit,AXISBANK,1164.9,Hit TP at 1164.900000015
2025-05-07 14:45:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 14:45:00+05:30,Take Profit Exit,AXISBANK,1164.9,Hit TP at 1164.900000015
2025-05-07 15:00:00+05:30,Entry Filled,AXISBANK,1157.7,Long entry; SL: 1152.8999999900002; TP: 1164.900000015; risk: 4.800000009999849
2025-05-07 15:15:00+05:30,Trailing SL Update,AXISBANK,1160.09999999,Updated from 1152.8999999900002 to 1160.09999999 on green bar
2025-05-08 09:15:00+05:30,Trailing SL Update,AXISBANK,1165.59999999,Updated from 1160.09999999 to 1165.59999999 on green bar
2025-05-08 09:15:00+05:30,Take Profit Exit,AXISBANK,1170.0,Hit TP at 1164.900000015
2025-06-05 00:00:00+05:30,Setup Detected,AXISBANK,1157.0,80-20 setup for next day entry at 1157.0; threshold: 1156.0; TR: 18.5
2025-06-06 09:30:00+05:30,Trigger Threshold Hit,AXISBANK,1153.5,Price dropped below threshold 1156.0; day_low_so_far: 1153.5
2025-06-06 10:00:00+05:30,Entry Filled,AXISBANK,1157.0,Long entry; SL: 1151.1999999900002; TP: 1165.7000000149997; risk: 5.800000009999849
2025-06-06 10:15:00+05:30,Trailing SL Update,AXISBANK,1151.99999999,Updated from 1151.1999999900002 to 1151.99999999 on green bar
2025-06-06 10:15:00+05:30,Take Profit Exit,AXISBANK,1165.7,Hit TP at 1165.7000000149997
2025-06-06 10:30:00+05:30,Entry Filled,AXISBANK,1157.0,Long entry; SL: 1151.1999999900002; TP: 1165.7000000149997; risk: 5.800000009999849
2025-06-06 10:30:00+05:30,Trailing SL Update,AXISBANK,1174.99999999,Updated from 1151.1999999900002 to 1174.99999999 on green bar
2025-06-06 10:30:00+05:30,Take Profit Exit,AXISBANK,1177.1000000000001,Hit TP at 1165.7000000149997
2025-06-06 10:45:00+05:30,Entry Filled,AXISBANK,1157.0,Long entry; SL: 1151.1999999900002; TP: 1165.7000000149997; risk: 5.800000009999849
2025-06-06 10:45:00+05:30,Trailing SL Update,AXISBANK,1185.1999999900002,Updated from 1151.1999999900002 to 1185.1999999900002 on green bar
2025-06-06 10:45:00+05:30,Take Profit Exit,AXISBANK,1186.0,Hit TP at 1165.7000000149997
2025-06-06 11:00:00+05:30,Entry Filled,AXISBANK,1157.0,Long entry; SL: 1151.1999999900002; TP: 1165.7000000149997; risk: 5.800000009999849
2025-06-06 11:00:00+05:30,Trailing SL Update,AXISBANK,1187.49999999,Updated from 1151.1999999900002 to 1187.49999999 on green bar
2025-06-06 11:00:00+05:30,Take Profit Exit,AXISBANK,1187.6000000000001,Hit TP at 1165.7000000149997
2025-06-06 11:15:00+05:30,Entry Filled,AXISBANK,1157.0,Long entry; SL: 1151.1999999900002; TP: 1165.7000000149997; risk: 5.800000009999849
2025-06-06 11:15:00+05:30,Trailing SL Update,AXISBANK,1192.3999999900002,Updated from 1151.1999999900002 to 1192.3999999900002 on green bar
2025-06-06 11:15:00+05:30,Take Profit Exit,AXISBANK,1192.4,Hit TP at 1165.7000000149997
