timestamp,event,symbol,price,details
2025-05-06 00:00:00+05:30,Setup Detected,BANKBARODA,214.22,80-20 setup for next day entry at 214.22; threshold: 213.22; TR: 29.0
2025-05-08 00:00:00+05:30,Setup Detected,BANKBARODA,208.8,80-20 setup for next day entry at 208.8; threshold: 207.8; TR: 10.289999999999992
2025-05-09 09:15:00+05:30,Trigger Threshold Hit,BANKBARODA,205.47,Price dropped below threshold 207.8; day_low_so_far: 205.47
2025-05-09 09:30:00+05:30,Entry Filled,BANKBARODA,208.8,Long entry; SL: 205.46999999; TP: 213.79500001500003; risk: 3.3300000100000204
2025-05-09 09:30:00+05:30,Trailing SL Update,BANKBARODA,208.52999999,Updated from 205.46999999 to 208.52999999 on green bar
2025-05-09 09:45:00+05:30,Stop Loss Exit,BANKBARODA,208.5,Hit SL at 208.52999999
2025-05-09 10:00:00+05:30,Entry Filled,BANKBARODA,208.8,Long entry; SL: 205.46999999; TP: 213.79500001500003; risk: 3.3300000100000204
2025-05-09 10:00:00+05:30,Trailing SL Update,BANKBARODA,207.47999998999998,Updated from 205.46999999 to 207.47999998999998 on green bar
2025-05-09 10:15:00+05:30,Trailing SL Update,BANKBARODA,209.31999998999999,Updated from 207.47999998999998 to 209.31999998999999 on green bar
2025-05-09 10:45:00+05:30,Trailing SL Update,BANKBARODA,209.95999999,Updated from 209.31999998999999 to 209.95999999 on green bar
2025-05-09 11:00:00+05:30,Trailing SL Update,BANKBARODA,210.36999999,Updated from 209.95999999 to 210.36999999 on green bar
2025-05-09 11:15:00+05:30,Stop Loss Exit,BANKBARODA,210.4,Hit SL at 210.36999999
2025-05-09 11:30:00+05:30,Entry Filled,BANKBARODA,208.8,Long entry; SL: 205.46999999; TP: 213.79500001500003; risk: 3.3300000100000204
2025-05-09 11:45:00+05:30,Trailing SL Update,BANKBARODA,210.40999999,Updated from 205.46999999 to 210.40999999 on green bar
2025-05-09 12:00:00+05:30,Trailing SL Update,BANKBARODA,211.50999998999998,Updated from 210.40999999 to 211.50999998999998 on green bar
2025-05-09 12:15:00+05:30,Stop Loss Exit,BANKBARODA,211.5,Hit SL at 211.50999998999998
2025-05-09 12:30:00+05:30,Entry Filled,BANKBARODA,208.8,Long entry; SL: 205.46999999; TP: 213.79500001500003; risk: 3.3300000100000204
2025-05-09 12:45:00+05:30,Trailing SL Update,BANKBARODA,211.41999998999998,Updated from 205.46999999 to 211.41999998999998 on green bar
2025-05-09 13:00:00+05:30,Stop Loss Exit,BANKBARODA,211.4,Hit SL at 211.41999998999998
2025-05-09 13:15:00+05:30,Entry Filled,BANKBARODA,208.8,Long entry; SL: 205.46999999; TP: 213.79500001500003; risk: 3.3300000100000204
2025-05-09 13:30:00+05:30,Trailing SL Update,BANKBARODA,210.85999999,Updated from 205.46999999 to 210.85999999 on green bar
2025-05-09 13:45:00+05:30,Trailing SL Update,BANKBARODA,211.77999999,Updated from 210.85999999 to 211.77999999 on green bar
2025-05-09 14:00:00+05:30,Trailing SL Update,BANKBARODA,211.99999999,Updated from 211.77999999 to 211.99999999 on green bar
2025-05-09 14:15:00+05:30,Stop Loss Exit,BANKBARODA,212.0,Hit SL at 211.99999999
2025-05-09 14:30:00+05:30,Entry Filled,BANKBARODA,208.8,Long entry; SL: 205.46999999; TP: 213.79500001500003; risk: 3.3300000100000204
2025-05-09 14:30:00+05:30,Trailing SL Update,BANKBARODA,211.89999999,Updated from 205.46999999 to 211.89999999 on green bar
2025-05-09 14:45:00+05:30,Trailing SL Update,BANKBARODA,212.49999999,Updated from 211.89999999 to 212.49999999 on green bar
2025-05-09 15:15:00+05:30,Trailing SL Update,BANKBARODA,212.57999999,Updated from 212.49999999 to 212.57999999 on green bar
2025-05-12 09:15:00+05:30,Take Profit Exit,BANKBARODA,219.4,Hit TP at 213.79500001500003
2025-05-20 00:00:00+05:30,Setup Detected,BANKBARODA,227.87,80-20 setup for next day entry at 227.87; threshold: 226.87; TR: 6.740000000000009
2025-06-10 00:00:00+05:30,Setup Detected,BANKBARODA,246.02,80-20 setup for next day entry at 246.02; threshold: 245.02; TR: 3.369999999999976
2025-06-11 09:15:00+05:30,Trigger Threshold Hit,BANKBARODA,244.95,Price dropped below threshold 245.02; day_low_so_far: 244.95
2025-06-11 12:00:00+05:30,Entry Filled,BANKBARODA,246.0,Long entry; SL: 244.39999999; TP: 248.400000015; risk: 1.6000000100000022
2025-06-11 12:00:00+05:30,Trailing SL Update,BANKBARODA,245.29999999,Updated from 244.39999999 to 245.29999999 on green bar
2025-06-11 12:15:00+05:30,Trailing SL Update,BANKBARODA,246.15999999,Updated from 245.29999999 to 246.15999999 on green bar
