timestamp,event,symbol,price,details
2025-05-06 00:00:00+05:30,Setup Detected,CANBK,88.71,80-20 setup for next day entry at 88.71; threshold: 87.71; TR: 5.840000000000003
2025-05-20 00:00:00+05:30,Setup Detected,CANBK,102.88,80-20 setup for next day entry at 102.88; threshold: 101.88; TR: 2.4000000000000057
2025-06-12 00:00:00+05:30,Setup Detected,CANBK,111.12,80-20 setup for next day entry at 111.12; threshold: 110.12; TR: 2.5999999999999943
2025-06-13 09:15:00+05:30,Trigger Threshold Hit,CANBK,107.52,Price dropped below threshold 110.12; day_low_so_far: 107.52
2025-06-13 09:30:00+05:30,Entry Filled,CANBK,111.10000000000001,Long entry; SL: 107.51999999; TP: 116.47000001500001; risk: 3.5800000100000062
2025-06-13 09:30:00+05:30,Trailing SL Update,CANBK,110.42999999000001,Updated from 107.51999999 to 110.42999999000001 on green bar
2025-06-13 09:45:00+05:30,Trailing SL Update,CANBK,110.87999999,Updated from 110.42999999000001 to 110.87999999 on green bar
2025-06-13 10:00:00+05:30,Stop Loss Exit,CANBK,110.9,Hit SL at 110.87999999
2025-06-13 10:15:00+05:30,Entry Filled,CANBK,111.10000000000001,Long entry; SL: 107.51999999; TP: 116.47000001500001; risk: 3.5800000100000062
2025-06-13 10:15:00+05:30,Trailing SL Update,CANBK,110.83999999000001,Updated from 107.51999999 to 110.83999999000001 on green bar
2025-06-13 10:30:00+05:30,Trailing SL Update,CANBK,111.19999999000001,Updated from 110.83999999000001 to 111.19999999000001 on green bar
2025-06-13 10:45:00+05:30,Stop Loss Exit,CANBK,111.2,Hit SL at 111.19999999000001
2025-06-13 11:00:00+05:30,Entry Filled,CANBK,111.10000000000001,Long entry; SL: 107.51999999; TP: 116.47000001500001; risk: 3.5800000100000062
2025-06-13 11:15:00+05:30,Trailing SL Update,CANBK,110.60999999,Updated from 107.51999999 to 110.60999999 on green bar
2025-06-13 11:45:00+05:30,Trailing SL Update,CANBK,110.89999999000001,Updated from 110.60999999 to 110.89999999000001 on green bar
2025-06-13 12:00:00+05:30,Trailing SL Update,CANBK,111.10999999,Updated from 110.89999999000001 to 111.10999999 on green bar
2025-06-13 12:15:00+05:30,Trailing SL Update,CANBK,111.20999999,Updated from 111.10999999 to 111.20999999 on green bar
2025-06-13 12:30:00+05:30,Stop Loss Exit,CANBK,111.2,Hit SL at 111.20999999
2025-06-13 12:45:00+05:30,Entry Filled,CANBK,111.10000000000001,Long entry; SL: 107.51999999; TP: 116.47000001500001; risk: 3.5800000100000062
2025-06-13 13:15:00+05:30,Trailing SL Update,CANBK,110.90999999,Updated from 107.51999999 to 110.90999999 on green bar
2025-06-13 13:30:00+05:30,Trailing SL Update,CANBK,111.02999999000001,Updated from 110.90999999 to 111.02999999000001 on green bar
2025-06-13 13:45:00+05:30,Stop Loss Exit,CANBK,111.0,Hit SL at 111.02999999000001
2025-06-13 14:00:00+05:30,Entry Filled,CANBK,111.10000000000001,Long entry; SL: 107.51999999; TP: 116.47000001500001; risk: 3.5800000100000062
2025-06-13 14:00:00+05:30,Trailing SL Update,CANBK,110.99999999,Updated from 107.51999999 to 110.99999999 on green bar
2025-06-13 14:45:00+05:30,Stop Loss Exit,CANBK,111.0,Hit SL at 110.99999999
2025-06-13 15:00:00+05:30,Entry Filled,CANBK,111.10000000000001,Long entry; SL: 107.51999999; TP: 116.47000001500001; risk: 3.5800000100000062
2025-06-13 15:00:00+05:30,Trailing SL Update,CANBK,110.99999999,Updated from 107.51999999 to 110.99999999 on green bar
2025-06-13 15:15:00+05:30,Trailing SL Update,CANBK,111.35999999,Updated from 110.99999999 to 111.35999999 on green bar
2025-06-16 09:15:00+05:30,Stop Loss Exit,CANBK,110.4,Hit SL at 111.35999999
2025-06-19 00:00:00+05:30,Setup Detected,CANBK,104.6,80-20 setup for next day entry at 104.6; threshold: 103.6; TR: 3.9000000000000057
2025-07-10 00:00:00+05:30,Setup Detected,CANBK,111.7,80-20 setup for next day entry at 111.7; threshold: 110.7; TR: 2.799999999999997
2025-07-17 00:00:00+05:30,Setup Detected,CANBK,114.91,80-20 setup for next day entry at 114.91; threshold: 113.91; TR: 2.5900000000000034
2025-07-21 00:00:00+05:30,Setup Detected,CANBK,111.4,80-20 setup for next day entry at 111.4; threshold: 110.4; TR: 3.299999999999997
2025-07-22 09:30:00+05:30,Trigger Threshold Hit,CANBK,109.57,Price dropped below threshold 110.4; day_low_so_far: 109.57
2025-07-22 00:00:00+05:30,Setup Detected,CANBK,107.71,80-20 setup for next day entry at 107.71; threshold: 106.71; TR: 4.990000000000009
2025-07-23 09:45:00+05:30,Trigger Threshold Hit,CANBK,106.6,Price dropped below threshold 106.71; day_low_so_far: 106.6
2025-07-23 11:00:00+05:30,Entry Filled,CANBK,107.7,Long entry; SL: 106.46999999; TP: 109.545000015; risk: 1.2300000099999977
2025-07-23 11:00:00+05:30,Trailing SL Update,CANBK,106.95999999,Updated from 106.46999999 to 106.95999999 on green bar
2025-07-23 11:30:00+05:30,Stop Loss Exit,CANBK,107.0,Hit SL at 106.95999999
2025-07-23 14:45:00+05:30,Entry Filled,CANBK,107.7,Long entry; SL: 106.29999999; TP: 109.800000015; risk: 1.4000000099999994
