timestamp,event,symbol,price,details
2025-04-23 00:00:00+05:30,Setup Detected,HDFCBANK,960.2,80-20 setup for next day entry at 960.2; threshold: 959.2; TR: 29.199999999999932
2025-04-24 09:15:00+05:30,Trigger Threshold Hit,HDFCBANK,952.6,Price dropped below threshold 959.2; day_low_so_far: 952.6
2025-04-24 09:30:00+05:30,Entry Filled,HDFCBANK,960.2,Long entry; SL: 952.59999999; TP: 971.6000000150001; risk: 7.600000010000031
2025-04-24 09:45:00+05:30,Trailing SL Update,HDFCBANK,953.99999999,Updated from 952.59999999 to 953.99999999 on green bar
2025-04-24 10:00:00+05:30,Trailing SL Update,HDFCBANK,956.59999999,Updated from 953.99999999 to 956.59999999 on green bar
2025-04-24 11:30:00+05:30,Trailing SL Update,HDFCBANK,957.99999999,Updated from 956.59999999 to 957.99999999 on green bar
2025-04-24 11:45:00+05:30,Trailing SL Update,HDFCBANK,958.59999999,Updated from 957.99999999 to 958.59999999 on green bar
2025-04-24 12:00:00+05:30,Trailing SL Update,HDFCBANK,958.99999999,Updated from 958.59999999 to 958.99999999 on green bar
2025-04-24 12:30:00+05:30,Stop Loss Exit,HDFCBANK,959.0,Hit SL at 958.99999999
2025-04-24 12:45:00+05:30,Entry Filled,HDFCBANK,960.2,Long entry; SL: 952.59999999; TP: 971.6000000150001; risk: 7.600000010000031
2025-04-24 13:00:00+05:30,Trailing SL Update,HDFCBANK,958.29999999,Updated from 952.59999999 to 958.29999999 on green bar
2025-04-24 13:15:00+05:30,Trailing SL Update,HDFCBANK,958.39999999,Updated from 958.29999999 to 958.39999999 on green bar
2025-04-24 13:30:00+05:30,Trailing SL Update,HDFCBANK,959.39999999,Updated from 958.39999999 to 959.39999999 on green bar
2025-04-24 13:45:00+05:30,Stop Loss Exit,HDFCBANK,959.4000000000001,Hit SL at 959.39999999
2025-04-24 14:00:00+05:30,Entry Filled,HDFCBANK,960.2,Long entry; SL: 952.59999999; TP: 971.6000000150001; risk: 7.600000010000031
2025-04-24 14:00:00+05:30,Trailing SL Update,HDFCBANK,959.99999999,Updated from 952.59999999 to 959.99999999 on green bar
2025-04-24 14:30:00+05:30,Stop Loss Exit,HDFCBANK,960.0,Hit SL at 959.99999999
2025-04-24 14:45:00+05:30,Entry Filled,HDFCBANK,960.2,Long entry; SL: 952.59999999; TP: 971.6000000150001; risk: 7.600000010000031
2025-04-25 09:30:00+05:30,Trailing SL Update,HDFCBANK,958.09999999,Updated from 952.59999999 to 958.09999999 on green bar
2025-04-25 09:45:00+05:30,Stop Loss Exit,HDFCBANK,958.1,Hit SL at 958.09999999
2025-05-08 00:00:00+05:30,Setup Detected,HDFCBANK,959.6,80-20 setup for next day entry at 959.6; threshold: 958.6; TR: 17.799999999999955
2025-05-09 09:15:00+05:30,Trigger Threshold Hit,HDFCBANK,951.8,Price dropped below threshold 958.6; day_low_so_far: 951.8
2025-06-10 00:00:00+05:30,Setup Detected,HDFCBANK,980.6,80-20 setup for next day entry at 980.6; threshold: 979.6; TR: 10.799999999999955
2025-06-11 09:15:00+05:30,Trigger Threshold Hit,HDFCBANK,978.3,Price dropped below threshold 979.6; day_low_so_far: 978.3
2025-06-11 10:30:00+05:30,Entry Filled,HDFCBANK,980.6,Long entry; SL: 976.69999999; TP: 986.450000015; risk: 3.900000009999985
2025-06-11 10:30:00+05:30,Trailing SL Update,HDFCBANK,978.29999999,Updated from 976.69999999 to 978.29999999 on green bar
2025-06-11 11:00:00+05:30,Trailing SL Update,HDFCBANK,979.79999999,Updated from 978.29999999 to 979.79999999 on green bar
2025-06-11 11:15:00+05:30,Trailing SL Update,HDFCBANK,980.39999999,Updated from 979.79999999 to 980.39999999 on green bar
2025-06-11 11:45:00+05:30,Trailing SL Update,HDFCBANK,980.69999999,Updated from 980.39999999 to 980.69999999 on green bar
2025-06-11 12:00:00+05:30,Stop Loss Exit,HDFCBANK,980.7,Hit SL at 980.69999999
2025-06-11 12:15:00+05:30,Entry Filled,HDFCBANK,980.6,Long entry; SL: 976.69999999; TP: 986.450000015; risk: 3.900000009999985
2025-06-11 12:45:00+05:30,Trailing SL Update,HDFCBANK,979.49999999,Updated from 976.69999999 to 979.49999999 on green bar
2025-06-11 13:00:00+05:30,Trailing SL Update,HDFCBANK,979.79999999,Updated from 979.49999999 to 979.79999999 on green bar
2025-06-11 13:15:00+05:30,Stop Loss Exit,HDFCBANK,979.8000000000001,Hit SL at 979.79999999
2025-06-11 00:00:00+05:30,Setup Detected,HDFCBANK,973.5,80-20 setup for next day entry at 973.5; threshold: 972.5; TR: 10.299999999999955
2025-07-02 00:00:00+05:30,Setup Detected,HDFCBANK,989.0,80-20 setup for next day entry at 989.0; threshold: 988.0; TR: 21.0
2025-07-10 00:00:00+05:30,Setup Detected,HDFCBANK,1000.0,80-20 setup for next day entry at 1000.0; threshold: 999.0; TR: 8.5
2025-07-11 09:15:00+05:30,Trigger Threshold Hit,HDFCBANK,999.0,Price dropped below threshold 999.0; day_low_so_far: 999.0
2025-07-11 09:30:00+05:30,Entry Filled,HDFCBANK,1000.0,Long entry; SL: 998.99999999; TP: 1001.5000000150001; risk: 1.000000010000008
2025-07-11 09:30:00+05:30,Take Profit Exit,HDFCBANK,1001.6,Hit TP at 1001.5000000150001
2025-07-11 09:45:00+05:30,Entry Filled,HDFCBANK,1000.0,Long entry; SL: 997.99999999; TP: 1003.0000000150001; risk: 2.000000010000008
2025-07-11 10:00:00+05:30,Stop Loss Exit,HDFCBANK,998.0,Hit SL at 997.99999999
2025-07-16 00:00:00+05:30,Setup Detected,HDFCBANK,996.3,80-20 setup for next day entry at 996.3; threshold: 995.3; TR: 15.100000000000023
