timestamp,event,symbol,price,details
2025-04-21 00:00:00+05:30,Setup Detected,ICICIBANK,1404.7,80-20 setup for next day entry at 1404.7; threshold: 1403.7; TR: 31.299999999999955
2025-04-22 09:15:00+05:30,Trigger Threshold Hit,ICICIBANK,1398.9,Price dropped below threshold 1403.7; day_low_so_far: 1398.9
2025-04-22 09:30:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 09:30:00+05:30,Trailing SL Update,ICICIBANK,1400.8999999900002,Updated from 1398.8999999900002 to 1400.8999999900002 on green bar
2025-04-22 09:45:00+05:30,Trailing SL Update,ICICIBANK,1405.49999999,Updated from 1400.8999999900002 to 1405.49999999 on green bar
2025-04-22 10:15:00+05:30,Trailing SL Update,ICICIBANK,1405.99999999,Updated from 1405.49999999 to 1405.99999999 on green bar
2025-04-22 10:15:00+05:30,Take Profit Exit,ICICIBANK,1413.4,Hit TP at 1413.400000015
2025-04-22 10:30:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 10:30:00+05:30,Take Profit Exit,ICICIBANK,1414.0,Hit TP at 1413.400000015
2025-04-22 10:45:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 10:45:00+05:30,Trailing SL Update,ICICIBANK,1411.99999999,Updated from 1398.8999999900002 to 1411.99999999 on green bar
2025-04-22 10:45:00+05:30,Take Profit Exit,ICICIBANK,1413.6000000000001,Hit TP at 1413.400000015
2025-04-22 11:00:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 11:00:00+05:30,Take Profit Exit,ICICIBANK,1414.9,Hit TP at 1413.400000015
2025-04-22 11:15:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 11:15:00+05:30,Take Profit Exit,ICICIBANK,1414.2,Hit TP at 1413.400000015
2025-04-22 11:30:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 11:30:00+05:30,Trailing SL Update,ICICIBANK,1407.09999999,Updated from 1398.8999999900002 to 1407.09999999 on green bar
2025-04-22 12:00:00+05:30,Stop Loss Exit,ICICIBANK,1407.1000000000001,Hit SL at 1407.09999999
2025-04-22 12:15:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 12:30:00+05:30,Trailing SL Update,ICICIBANK,1403.3999999900002,Updated from 1398.8999999900002 to 1403.3999999900002 on green bar
2025-04-22 13:00:00+05:30,Trailing SL Update,ICICIBANK,1404.79999999,Updated from 1403.3999999900002 to 1404.79999999 on green bar
2025-04-22 13:15:00+05:30,Trailing SL Update,ICICIBANK,1408.6999999900002,Updated from 1404.79999999 to 1408.6999999900002 on green bar
2025-04-22 13:15:00+05:30,Take Profit Exit,ICICIBANK,1413.4,Hit TP at 1413.400000015
2025-04-22 13:30:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 13:30:00+05:30,Take Profit Exit,ICICIBANK,1413.4,Hit TP at 1413.400000015
2025-04-22 13:45:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
2025-04-22 14:00:00+05:30,Trailing SL Update,ICICIBANK,1409.8999999900002,Updated from 1398.8999999900002 to 1409.8999999900002 on green bar
2025-04-22 14:15:00+05:30,Trailing SL Update,ICICIBANK,1412.09999999,Updated from 1409.8999999900002 to 1412.09999999 on green bar
2025-04-22 14:15:00+05:30,Take Profit Exit,ICICIBANK,1413.4,Hit TP at 1413.400000015
2025-04-22 14:30:00+05:30,Entry Filled,ICICIBANK,1404.7,Long entry; SL: 1398.8999999900002; TP: 1413.400000015; risk: 5.800000009999849
