timestamp,event,symbol,price,details
2025-05-20 00:00:00+05:30,Setup Detected,IDFCFIRSTB,66.91,80-20 setup for next day entry at 66.91; threshold: 65.91; TR: 1.9399999999999977
2025-06-03 00:00:00+05:30,Setup Detected,IDFCFIRSTB,66.64,80-20 setup for next day entry at 66.64; threshold: 65.64; TR: 2.3799999999999955
2025-06-10 00:00:00+05:30,Setup Detected,IDFCFIRSTB,71.28,80-20 setup for next day entry at 71.28; threshold: 70.28; TR: 1.3700000000000045
2025-06-19 00:00:00+05:30,Setup Detected,IDFCFIRSTB,69.3,80-20 setup for next day entry at 69.3; threshold: 68.3; TR: 1.5600000000000023
2025-07-10 00:00:00+05:30,Setup Detected,IDFCFIRSTB,76.3,80-20 setup for next day entry at 76.3; threshold: 75.3; TR: 1.740000000000009
2025-07-17 00:00:00+05:30,Setup Detected,IDFCFIRSTB,73.32,80-20 setup for next day entry at 73.32; threshold: 72.32; TR: 0.8400000000000034
2025-07-22 00:00:00+05:30,Setup Detected,IDFCFIRSTB,72.25,80-20 setup for next day entry at 72.25; threshold: 71.25; TR: 1.8499999999999943
2025-07-30 00:00:00+05:30,Setup Detected,IDFCFIRSTB,69.02,80-20 setup for next day entry at 69.02; threshold: 68.02; TR: 1.3200000000000074
2025-08-21 00:00:00+05:30,Setup Detected,IDFCFIRSTB,69.9,80-20 setup for next day entry at 69.9; threshold: 68.9; TR: 1.3499999999999943
2025-10-16 00:00:00+05:30,Setup Detected,IDFCFIRSTB,71.71,80-20 setup for next day entry at 71.71; threshold: 70.71; TR: 1.730000000000004
