timestamp,event,symbol,price,details
2025-04-23 00:00:00+05:30,Setup Detected,KOTAKBANK,2220.0,80-20 setup for next day entry at 2220.0; threshold: 2219.0; TR: 70.0
2025-04-24 09:15:00+05:30,Trigger Threshold Hit,KOTAKBANK,2213.7,Price dropped below threshold 2219.0; day_low_so_far: 2213.7
2025-04-24 09:30:00+05:30,Entry Filled,KOTAKBANK,2220.0,Long entry; SL: 2213.69999999; TP: 2229.450000015; risk: 6.300000010000076
2025-04-24 09:30:00+05:30,Trailing SL Update,KOTAKBANK,2219.69999999,Updated from 2213.69999999 to 2219.69999999 on green bar
2025-04-24 09:30:00+05:30,Take Profit Exit,KOTAKBANK,2229.5,Hit TP at 2229.450000015
2025-04-24 09:45:00+05:30,Entry Filled,KOTAKBANK,2220.0,Long entry; SL: 2213.69999999; TP: 2229.450000015; risk: 6.300000010000076
2025-04-24 09:45:00+05:30,Trailing SL Update,KOTAKBANK,2220.89999999,Updated from 2213.69999999 to 2220.89999999 on green bar
2025-04-24 09:45:00+05:30,Take Profit Exit,KOTAKBANK,2229.5,Hit TP at 2229.450000015
2025-04-24 10:00:00+05:30,Entry Filled,KOTAKBANK,2220.0,Long entry; SL: 2213.69999999; TP: 2229.450000015; risk: 6.300000010000076
2025-04-24 10:00:00+05:30,Trailing SL Update,KOTAKBANK,2221.89999999,Updated from 2213.69999999 to 2221.89999999 on green bar
2025-04-24 10:15:00+05:30,Trailing SL Update,KOTAKBANK,2227.69999999,Updated from 2221.89999999 to 2227.69999999 on green bar
2025-04-24 10:15:00+05:30,Take Profit Exit,KOTAKBANK,2229.5,Hit TP at 2229.450000015
2025-04-24 10:30:00+05:30,Entry Filled,KOTAKBANK,2220.0,Long entry; SL: 2213.69999999; TP: 2229.450000015; risk: 6.300000010000076
2025-04-24 10:30:00+05:30,Take Profit Exit,KOTAKBANK,2229.9,Hit TP at 2229.450000015
