timestamp,event,symbol,price,details
2025-05-06 00:00:00+05:30,Setup Detected,SBIN,771.1,80-20 setup for next day entry at 771.1; threshold: 770.1; TR: 28.049999999999955
2025-05-07 09:15:00+05:30,Trigger Threshold Hit,SBIN,764.55,Price dropped below threshold 770.1; day_low_so_far: 764.55
2025-05-07 09:30:00+05:30,Entry Filled,SBIN,771.1,Long entry; SL: 764.54999999; TP: 780.9250000150001; risk: 6.550000010000076
2025-05-07 09:30:00+05:30,Take Profit Exit,SBIN,780.9000000000001,Hit TP at 780.9250000150001
2025-05-07 09:45:00+05:30,Entry Filled,SBIN,771.1,Long entry; SL: 764.54999999; TP: 780.9250000150001; risk: 6.550000010000076
2025-05-07 09:45:00+05:30,Trailing SL Update,SBIN,773.64999999,Updated from 764.54999999 to 773.64999999 on green bar
2025-05-07 10:15:00+05:30,Trailing SL Update,SBIN,774.39999999,Updated from 773.64999999 to 774.39999999 on green bar
2025-05-07 10:30:00+05:30,Trailing SL Update,SBIN,776.14999999,Updated from 774.39999999 to 776.14999999 on green bar
2025-05-07 11:00:00+05:30,Trailing SL Update,SBIN,777.04999999,Updated from 776.14999999 to 777.04999999 on green bar
2025-05-07 11:15:00+05:30,Trailing SL Update,SBIN,778.24999999,Updated from 777.04999999 to 778.24999999 on green bar
2025-05-07 11:30:00+05:30,Stop Loss Exit,SBIN,778.2,Hit SL at 778.24999999
2025-05-07 11:45:00+05:30,Entry Filled,SBIN,771.1,Long entry; SL: 764.54999999; TP: 780.9250000150001; risk: 6.550000010000076
2025-05-07 12:00:00+05:30,Trailing SL Update,SBIN,775.99999999,Updated from 764.54999999 to 775.99999999 on green bar
2025-05-07 12:15:00+05:30,Stop Loss Exit,SBIN,776.0,Hit SL at 775.99999999
2025-05-07 12:30:00+05:30,Entry Filled,SBIN,771.1,Long entry; SL: 764.54999999; TP: 780.9250000150001; risk: 6.550000010000076
2025-05-07 13:45:00+05:30,Trailing SL Update,SBIN,771.24999999,Updated from 764.54999999 to 771.24999999 on green bar
2025-05-07 14:00:00+05:30,Trailing SL Update,SBIN,772.54999999,Updated from 771.24999999 to 772.54999999 on green bar
2025-05-07 14:15:00+05:30,Stop Loss Exit,SBIN,772.5,Hit SL at 772.54999999
2025-05-07 14:30:00+05:30,Entry Filled,SBIN,771.1,Long entry; SL: 764.54999999; TP: 780.9250000150001; risk: 6.550000010000076
2025-05-07 14:30:00+05:30,Trailing SL Update,SBIN,772.84999999,Updated from 764.54999999 to 772.84999999 on green bar
2025-05-07 15:00:00+05:30,Trailing SL Update,SBIN,774.49999999,Updated from 772.84999999 to 774.49999999 on green bar
2025-05-07 15:15:00+05:30,Trailing SL Update,SBIN,775.49999999,Updated from 774.49999999 to 775.49999999 on green bar
2025-05-08 09:15:00+05:30,Trailing SL Update,SBIN,777.64999999,Updated from 775.49999999 to 777.64999999 on green bar
2025-05-08 09:15:00+05:30,Take Profit Exit,SBIN,780.9000000000001,Hit TP at 780.9250000150001
2025-05-20 00:00:00+05:30,Setup Detected,SBIN,783.8,80-20 setup for next day entry at 783.8; threshold: 782.8; TR: 15.600000000000023
2025-05-21 09:15:00+05:30,Trigger Threshold Hit,SBIN,781.8,Price dropped below threshold 782.8; day_low_so_far: 781.8
2025-05-21 09:30:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 09:30:00+05:30,Take Profit Exit,SBIN,786.8000000000001,Hit TP at 786.8000000150003
2025-05-21 09:45:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 09:45:00+05:30,Trailing SL Update,SBIN,786.44999999,Updated from 781.79999999 to 786.44999999 on green bar
2025-05-21 09:45:00+05:30,Take Profit Exit,SBIN,786.8000000000001,Hit TP at 786.8000000150003
2025-05-21 10:00:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 10:00:00+05:30,Trailing SL Update,SBIN,786.54999999,Updated from 781.79999999 to 786.54999999 on green bar
2025-05-21 10:00:00+05:30,Take Profit Exit,SBIN,787.0,Hit TP at 786.8000000150003
2025-05-21 10:15:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 10:15:00+05:30,Take Profit Exit,SBIN,789.3000000000001,Hit TP at 786.8000000150003
2025-05-21 10:30:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 10:30:00+05:30,Take Profit Exit,SBIN,788.8000000000001,Hit TP at 786.8000000150003
2025-05-21 10:45:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 10:45:00+05:30,Trailing SL Update,SBIN,788.44999999,Updated from 781.79999999 to 788.44999999 on green bar
2025-05-21 10:45:00+05:30,Take Profit Exit,SBIN,788.6,Hit TP at 786.8000000150003
2025-05-21 11:00:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 11:00:00+05:30,Take Profit Exit,SBIN,789.8000000000001,Hit TP at 786.8000000150003
2025-05-21 11:15:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 11:15:00+05:30,Take Profit Exit,SBIN,788.8000000000001,Hit TP at 786.8000000150003
2025-05-21 11:30:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 11:30:00+05:30,Take Profit Exit,SBIN,786.8000000000001,Hit TP at 786.8000000150003
2025-05-21 11:45:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 781.79999999; TP: 786.8000000150003; risk: 2.0000000100001216
2025-05-21 12:00:00+05:30,Stop Loss Exit,SBIN,781.8000000000001,Hit SL at 781.79999999
2025-05-21 12:30:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 779.09999999; TP: 790.8500000150002; risk: 4.700000010000053
2025-05-21 12:30:00+05:30,Trailing SL Update,SBIN,782.14999999,Updated from 779.09999999 to 782.14999999 on green bar
2025-05-21 12:45:00+05:30,Stop Loss Exit,SBIN,782.1,Hit SL at 782.14999999
2025-05-21 13:00:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 779.09999999; TP: 790.8500000150002; risk: 4.700000010000053
2025-05-21 13:00:00+05:30,Trailing SL Update,SBIN,782.84999999,Updated from 779.09999999 to 782.84999999 on green bar
2025-05-21 13:15:00+05:30,Trailing SL Update,SBIN,784.99999999,Updated from 782.84999999 to 784.99999999 on green bar
2025-05-21 14:00:00+05:30,Stop Loss Exit,SBIN,785.0,Hit SL at 784.99999999
2025-05-21 14:15:00+05:30,Entry Filled,SBIN,783.8000000000001,Long entry; SL: 779.09999999; TP: 790.8500000150002; risk: 4.700000010000053
2025-05-21 14:15:00+05:30,Trailing SL Update,SBIN,785.89999999,Updated from 779.09999999 to 785.89999999 on green bar
2025-05-21 14:45:00+05:30,Trailing SL Update,SBIN,786.14999999,Updated from 785.89999999 to 786.14999999 on green bar
